# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
8.50063E+01,1.31956E+01,1.40145E+02,,8.50063E+01,1.40306E+01,8.50063E+01,1.78583E+01,8.50063E+01,2.31380E+01,8.50063E+01,2.74215E+01
8.48324E+01,,1.39674E+02,,8.48324E+01,5.43400E-01,8.48324E+01,4.04150E+00,8.48324E+01,8.51740E+00,8.48324E+01,1.39825E+01
8.46593E+01,,1.39205E+02,,8.46593E+01,,8.46593E+01,,8.46593E+01,,8.46593E+01,
8.44869E+01,,1.38739E+02,,8.44869E+01,,8.44869E+01,,8.44869E+01,,8.44869E+01,
8.43152E+01,,1.38277E+02,,8.43152E+01,,8.43152E+01,,8.43152E+01,4.63660E+00,8.43152E+01,1.01317E+01
8.41441E+01,1.68549E+01,1.37817E+02,4.25387E+00,8.41441E+01,1.73268E+01,8.41441E+01,1.91788E+01,8.41441E+01,2.69181E+01,8.41441E+01,3.35897E+01
8.39738E+01,3.18196E+01,1.37361E+02,,8.39738E+01,3.29613E+01,8.39738E+01,3.54236E+01,8.39738E+01,4.15324E+01,8.39738E+01,4.82530E+01
8.38042E+01,3.05119E+01,1.36908E+02,,8.38042E+01,3.25454E+01,8.38042E+01,3.42040E+01,8.38042E+01,4.04499E+01,8.38042E+01,4.67223E+01
8.36352E+01,1.61075E+01,1.36457E+02,,8.36352E+01,1.77455E+01,8.36352E+01,1.97302E+01,8.36352E+01,2.54751E+01,8.36352E+01,3.06150E+01
8.34669E+01,,1.36010E+02,,8.34669E+01,,8.34669E+01,3.23390E+00,8.34669E+01,8.27140E+00,8.34669E+01,1.09762E+01
8.32993E+01,,1.35566E+02,5.93591E+00,8.32993E+01,,8.32993E+01,,8.32993E+01,1.20470E+00,8.32993E+01,2.87540E+00
8.31324E+01,6.34560E+00,1.35124E+02,1.54763E+01,8.31324E+01,5.50670E+00,8.31324E+01,8.51890E+00,8.31324E+01,1.41842E+01,8.31324E+01,1.74484E+01
