# micron,En90
14.65832,492.10741
14.64797,488.55172
14.63763,480.50247
14.62731,468.10516
14.617,457.23072
14.60671,447.45023
14.59643,436.77067
14.58616,427.51255
14.57591,423.62622
14.56568,422.3171
14.55546,422.84332
14.54525,425.24316
14.53505,428.22077
14.52488,432.51788
14.51471,434.64709
14.50456,430.71129
14.49443,426.5143
14.4843,422.5725
14.4742,417.71429
14.4641,410.89824
14.45402,403.75446
14.44396,400.17944
14.43391,398.57138
14.42387,396.77789
14.41385,394.27099
14.40384,390.09004
14.39384,384.29277
14.38386,374.73779
14.37389,360.55708
14.36394,342.99489
14.354,325.61224
14.34407,308.12568
14.33416,292.13636
14.32426,277.67914
14.31437,266.9518
14.3045,259.77915
14.29464,252.68669
14.2848,245.856
14.27497,239.41663
14.26515,233.25601
14.25534,225.99741
14.24555,215.8576
14.23578,205.90104
14.22601,197.92036
14.21626,192.25452
14.20652,188.61788
14.1968,187.74573
14.18709,188.96824
14.17739,191.90558
14.16771,196.2332
14.15804,199.57212
14.14838,198.83703
14.13873,197.58624
14.1291,193.67645
14.11949,188.26428
14.10988,185.15574
14.10029,184.56214
14.09071,186.39684
14.08114,190.62769
14.07159,195.03546
14.06205,203.14707
14.05252,213.57139
14.04301,220.23849
14.03351,225.75044
14.02402,230.05759
14.01454,232.00351
14.00508,233.37275
13.99563,235.69596
13.98619,240.26862
13.97677,248.33611
13.96736,260.56863
13.95796,276.47674
13.94857,293.26158
13.9392,311.44072
13.92983,329.54373
13.92049,346.76057
13.91115,364.01273
13.90183,380.3582
13.89251,395.56557
13.88322,410.83893
13.87393,426.67959
13.86465,444.09122
13.85539,462.67887
13.84614,479.3641
13.83691,493.22027
13.82768,505.51526
13.81847,514.99618
13.80927,517.01004
13.80008,511.618
13.79091,500.66437
13.78174,486.53305
13.77259,471.00441
13.76345,456.42177
13.75433,444.42337
13.74521,436.43901
13.73611,430.60816
13.72702,427.04743
13.71794,430.26526
13.70887,436.65776
13.69982,444.34747
13.69078,451.04728
13.68175,459.2936
13.67273,468.20359
13.66372,477.72909
13.65472,489.015
13.64574,501.80663
13.63677,516.60357
13.62781,532.41829
13.61886,547.23273
13.60993,558.18398
13.601,563.90848
13.59209,561.24291
13.58319,551.93867
13.5743,536.98724
13.56542,515.29561
13.55655,489.27897
13.5477,462.78041
13.53885,436.57301
13.53002,414.1339
13.5212,394.91343
13.51239,378.35914
13.5036,365.00051
13.49481,354.93385
13.48604,346.26752
13.47727,335.10958
13.46852,321.6656
13.45978,309.21344
13.45105,296.37283
13.44234,283.05506
13.43363,270.79342
13.42493,261.64921
13.41625,256.34056
13.40758,252.3685
13.39892,249.78959
13.39027,248.19119
13.38163,246.76202
13.373,245.60149
13.36439,242.17787
13.35578,236.21049
13.34718,228.80717
13.3386,221.58278
13.33003,216.17374
13.32147,214.60279
13.31292,215.14446
13.30438,217.60739
13.29585,221.83124
13.28733,225.72083
13.27882,228.99298
13.27033,230.78256
13.26184,231.21336
13.25337,229.7006
13.24491,226.34726
13.23645,222.56191
13.22801,220.24296
13.21958,220.25651
13.21116,221.32714
13.20275,225.1113
13.19435,231.37198
13.18597,236.90698
13.17759,241.41229
13.16922,247.03338
13.16087,250.00558
13.15252,248.8582
13.14419,247.15378
13.13586,245.50066
13.12755,245.17926
13.11924,247.44295
13.11095,250.85136
13.10267,256.26999
13.0944,264.04451
13.08614,271.83894
13.07788,279.71132
13.06964,286.89113
13.06141,291.32381
13.05319,293.28617
13.04498,294.25049
13.03678,294.56632
13.0286,296.59784
13.02042,301.03399
13.01225,307.31283
13.00409,315.32047
12.99594,324.03375
12.9878,335.03328
12.97968,347.48806
12.97156,357.20335
12.96345,364.94359
12.95536,371.39174
12.94727,376.52224
12.93919,382.51243
12.93113,388.63489
12.92307,396.13716
12.91502,406.55435
12.90698,417.63184
12.89896,429.65709
12.89094,442.81006
12.88294,455.5433
12.87494,466.25094
12.86695,473.78376
12.85897,478.22686
12.85101,478.8202
12.84305,478.2904
12.8351,476.06382
12.82716,473.45426
12.81924,471.62767
12.81132,471.08963
12.80341,471.25281
12.79551,471.5822
12.78762,471.92129
12.77974,470.12885
12.77187,467.19118
12.76402,463.22168
12.75616,457.09661
12.74832,450.31472
12.74049,445.91699
12.73267,444.0354
12.72486,442.36136
12.71706,444.65628
12.70927,450.06277
12.70149,454.84129
12.69371,460.5545
12.68595,467.61752
12.67819,472.91443
12.67045,476.33857
12.66271,477.58632
12.65499,479.31865
12.64727,482.60374
12.63956,486.93494
12.63187,493.87929
